person_id,first_name,last_name,address1,address2,address3,email,phone,DOB

19941107-3952,Andrea,Berg,Nyström Gata 7,Ödeshög,22856,elsemarie.hedlund@hotmail.com,0894-667 57,1994-11-07

20161226-3730,Pierre,Eklund,Småbacken 69Y,Oskarström,964 22,fabian82@gmail.com,+46(0)4547926,2016-12-26

20140201-4134,Ingeborg,Pettersson,Mattssongatan 986,Hok,884 18,waldemar.lundberg@bjork.org,+46 (0)473 860 16,2014-02-01

20080623-1591,Lilian,Claesson,Sjögatan 83,Norsholm,615 36,gmagnusson@hotmail.com,08-101 164 49,2008-06-23

20130807-4172,Frank,Lundgren,Hamnbacken 54D,Stavsnäs,30372,orjan.stromberg@yahoo.com,+46(0)517871054,2013-08-07

19890920-0314,Betty,Nyberg,Vasastigen 6F,Skummeslövsstrand,153 24,sten.abrahamsson@bjorklund.biz,021-81 59 17,1989-09-20

19700424-9379,Heribert,Wikström,Linnéliden 20,Svappavaara,661 89,morgan30@henriksson.com,+46 (0)8380478,1970-04-24

19870305-0344,Kersti,Jönsson,Björklundgränd 872,Kållekärr,65631,jerry.pettersson@dahlberg.com,+46 (0)436 470 49,1987-03-05

19861029-8042,Hardy,Lundberg,Linnévägen 4,Skee,14927,ursula.palsson@jakobsson.com,0803-492 85,1986-10-29

20020805-0086,Gunhild,Sundqvist,Drottninggränd 2X,Marielund,506 51,blenda52@wallin.biz,+469001400,2002-08-05

19940211-4769,Lisa,Gustafsson,Småvägen 310,Björna,395 19,viklund.ted@gmail.com,0459600236,1994-02-11

19880414-5955,Lisa,Berg,Storliden 62K,Kvidinge,39900,johansson.johny@yahoo.com,08-682 62 05,1988-04-14

20140302-4580,Carl,Sjögren,Olofssonliden 2,Limmared,59559,falk.gudmund@lofgren.net,+46 (0)89438466,2014-03-02

20170130-8109,Eva-Britt,Jönsson,Margitavägen 21B,Bunkeflostrand,27585,wikstrom.brita@gmail.com,096-34 80 63,2017-01-30

20040617-5422,Edith,Bengtsson,Vasabacken 84,Vaplan,58251,sten.claesson@yahoo.com,057261982,2004-06-17

19870803-6301,Jan-Ove,Sandström,Kennystigen 38R,Kusmark,49515,yhenriksson@gmail.com,+46 (0)683 644 02,1987-08-03

